Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HF,AF,HC,AC,HY,AY,HR,AR
06/03/05,Nurnberg,Dortmund,2,2,D,0,0,D,17,16,19,16,4,7,5,3,1,0
12/03/05,Bielefeld,Hamburg,3,4,A,2,3,A,19,10,21,33,5,3,3,3,0,1
12/03/05,Freiburg,Nurnberg,2,3,A,1,1,D,15,20,14,18,8,7,1,3,0,0
12/03/05,Hansa Rostock,Bochum,3,1,H,1,0,H,14,19,23,25,3,5,1,2,0,0
12/03/05,Kaiserslautern,M'gladbach,1,0,H,1,0,H,17,17,23,19,3,5,1,1,0,0
12/03/05,Leverkusen,Hertha,3,3,D,2,2,D,22,9,18,17,11,2,2,0,0,1
12/03/05,Werder Bremen,Mainz,0,0,D,0,0,D,20,8,14,18,6,8,2,3,0,0
12/03/05,Wolfsburg,Hannover,1,0,H,1,0,H,13,17,28,15,3,8,3,3,0,0
13/03/05,Dortmund,Stuttgart,0,2,A,0,1,A,18,13,20,16,8,1,3,4,1,1
13/03/05,Schalke 04,Bayern Munich,1,0,H,0,0,D,11,17,23,26,1,4,2,2,0,0
19/03/05,Bayern Munich,Hansa Rostock,3,1,H,1,1,D,25,6,16,22,9,5,3,5,0,0
19/03/05,Bochum,Wolfsburg,5,1,H,4,0,H,12,19,13,21,5,9,1,2,0,0
19/03/05,Hamburg,Dortmund,2,3,A,1,1,D,10,17,20,19,3,3,2,3,0,0
19/03/05,Hannover,M'gladbach,2,1,H,0,1,A,9,11,13,21,4,2,1,3,0,0
19/03/05,Hertha,Bielefeld,3,0,H,1,0,H,12,15,23,18,3,4,0,3,0,0
19/03/05,Leverkusen,Kaiserslautern,2,0,H,1,0,H,16,13,13,21,5,9,2,2,0,0
19/03/05,Nurnberg,Werder Bremen,1,2,A,0,2,A,12,18,17,23,2,10,3,2,0,0
20/03/05,Mainz,Schalke 04,2,1,H,1,0,H,15,17,18,27,4,5,1,3,0,0
